supergroup,subgroup,Pxx,Pxy,Pxz,Pyx,Pyy,Pyz,Pzx,Pzy,Pzz,px,py,pz
51,25,1,0,0,0,1,0,0,0,1,1/4,0,0
51,26,0,0,1,1,0,0,0,1,0,0,0,0
51,28,1,0,0,0,0,1,0,-1,0,0,0,0
52,13,0,1,0,-1,0,1,0,0,1,0,0,0
52,14,0,0,-1,0,1,0,1,0,-1,0,0,0
52,17,0,1,0,0,0,1,1,0,0,1/4,0,1/4
52,30,0,0,1,1,0,0,0,1,0,0,1/4,1/4
52,33,1,0,0,0,0,1,0,-1,0,1/4,0,1/4
52,34,1,0,0,0,1,0,0,0,1,1/4,0,0
53,10,0,1,0,0,0,1,1,0,0,0,0,0
53,13,0,0,-1,0,1,0,1,0,-1,0,0,0
53,14,0,0,1,1,0,0,0,1,0,0,0,0
53,17,1,0,0,0,1,0,0,0,1,1/4,0,0
53,28,1,0,0,0,0,1,0,-1,0,1/4,0,1/4
53,30,0,0,1,1,0,0,0,1,0,0,0,0
53,31,1,0,0,0,1,0,0,0,1,0,0,0
54,13,1,0,0,0,1,0,0,0,1,0,0,0
54,14,0,1,0,-1,0,0,0,0,1,0,0,0
54,17,0,0,1,1,0,0,0,1,0,0,0,1/4
54,27,1,0,0,0,1,0,0,0,1,1/4,0,0
54,29,0,0,-1,0,1,0,1,0,0,0,0,1/4
54,32,1,0,0,0,0,1,0,-1,0,0,0,1/4
55,10,0,0,1,1,0,0,0,1,0,0,0,0
55,14,0,1,0,0,0,1,1,0,0,0,0,0
55,18,1,0,0,0,1,0,0,0,1,0,0,0
55,26,0,0,-1,0,1,0,1,0,0,0,1/4,0
55,32,1,0,0,0,1,0,0,0,1,0,0,0
56,13,1,0,-1,0,0,-1,0,1,0,0,0,0
56,14,0,1,0,-1,0,0,0,0,1,0,0,0
56,18,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
56,27,1,0,0,0,1,0,0,0,1,1/4,1/4,0
56,33,0,0,-1,0,1,0,1,0,0,0,0,1/4
57,11,0,0,1,1,0,0,0,1,0,0,0,0
57,13,0,1,0,0,0,1,1,0,0,0,0,0
57,14,1,0,0,0,1,0,0,0,1,0,0,0
57,18,0,0,1,1,0,0,0,1,0,0,1/4,0
57,26,0,1,0,0,0,1,1,0,0,0,0,1/4
57,28,0,0,-1,0,1,0,1,0,0,0,1/4,0
57,29,0,1,0,-1,0,0,0,0,1,0,0,0
58,10,0,0,1,1,0,0,0,1,0,0,0,0
58,14,0,1,0,-1,0,1,0,0,1,0,0,0
58,18,1,0,0,0,1,0,0,0,1,0,0,1/4
58,31,0,0,1,0,1,0,-1,0,0,0,1/4,0
58,34,1,0,0,0,1,0,0,0,1,0,0,0
59,11,0,1,0,0,0,1,1,0,0,0,0,0
59,13,1,0,-1,0,0,-1,0,1,0,0,0,0
59,18,1,0,0,0,1,0,0,0,1,1/4,1/4,0
59,25,1,0,0,0,1,0,0,0,1,1/4,1/4,0
59,31,0,0,1,1,0,0,0,1,0,1/4,1/4,0
60,13,1,0,0,0,1,0,0,0,1,0,0,0
60,14,0,1,0,0,0,1,1,0,0,0,0,0
60,18,0,1,0,0,0,1,1,0,0,0,1/4,1/4
60,29,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
60,30,0,1,0,0,0,1,1,0,0,0,0,1/4
60,33,0,0,-1,0,1,0,1,0,0,0,1/4,0
61,14,0,1,0,0,0,1,1,0,0,0,0,0
61,19,1,0,0,0,1,0,0,0,1,0,0,0
61,29,0,0,-1,0,1,0,1,0,0,0,1/4,0
62,11,1,0,0,0,1,0,0,0,1,0,0,0
62,14,0,1,0,-1,0,1,0,0,1,0,0,0
62,19,1,0,0,0,1,0,0,0,1,0,0,1/4
62,26,0,0,1,1,0,0,0,1,0,0,1/4,1/4
62,31,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
62,33,1,0,0,0,0,1,0,-1,0,0,0,0
63,11,1/2,0,1/2,1/2,0,-1/2,0,1,0,0,0,0
63,12,0,1,0,-1,0,0,0,0,1,0,0,0
63,15,1,0,0,0,1,0,0,0,1,0,0,0
63,20,1,0,0,0,1,0,0,0,1,0,0,0
63,36,1,0,0,0,1,0,0,0,1,0,0,0
63,38,0,1,0,0,0,1,1,0,0,0,0,1/4
63,40,0,0,-1,0,1,0,1,0,0,0,0,0
64,12,0,1,0,-1,0,0,0,0,1,0,0,0
64,14,-1/2,0,1,1/2,0,0,0,1,0,0,0,0
64,15,1,0,0,0,1,0,0,0,1,1/4,1/4,0
64,20,1,0,0,0,1,0,0,0,1,1/4,0,0
64,36,1,0,0,0,1,0,0,0,1,0,1/4,0
64,39,0,1,0,0,0,1,1,0,0,1/4,0,1/4
64,41,0,0,-1,0,1,0,1,0,0,0,0,0
65,10,1/2,0,1/2,1/2,0,-1/2,0,1,0,0,0,0
65,12,0,1,0,-1,0,0,0,0,1,0,0,0
65,21,1,0,0,0,1,0,0,0,1,0,0,0
65,35,1,0,0,0,1,0,0,0,1,0,0,0
65,38,0,0,-1,0,1,0,1,0,0,0,0,0
66,10,1/2,0,1/2,1/2,0,-1/2,0,1,0,0,0,0
66,15,0,1,0,-1,0,0,0,0,1,0,0,0
66,21,1,0,0,0,1,0,0,0,1,0,0,1/4
66,37,1,0,0,0,1,0,0,0,1,0,0,0
66,40,0,0,-1,0,1,0,1,0,0,0,0,1/4
67,12,0,1,0,-1,0,0,0,0,1,0,0,0
67,13,-1/2,0,1,1/2,0,0,0,1,0,0,0,0
67,21,1,0,0,0,1,0,0,0,1,1/4,0,0
67,35,1,0,0,0,1,0,0,0,1,0,1/4,0
67,39,0,0,-1,0,1,0,1,0,0,0,0,0
68,13,-1/2,0,1,1/2,0,0,0,1,0,1/4,1/4,0
68,15,0,1,0,-1,0,0,0,0,1,1/4,1/4,0
68,21,1,0,0,0,1,0,0,0,1,0,1/4,1/4
68,37,1,0,0,0,1,0,0,0,1,1/4,0,1/4
68,41,0,0,-1,0,1,0,1,0,0,0,1/4,1/4
69,12,0,1,0,-1,0,1/2,0,0,1/2,0,0,0
69,22,1,0,0,0,1,0,0,0,1,0,0,0
69,42,0,0,1,1,0,0,0,1,0,0,0,0
70,15,0,1,0,-1,0,1/2,0,0,1/2,0,0,0
70,22,1,0,0,0,1,0,0,0,1,1/8,1/8,1/8
70,43,0,0,1,1,0,0,0,1,0,0,3/8,3/8
71,12,0,1,0,-1,0,1,1,0,0,0,0,0
71,23,1,0,0,0,1,0,0,0,1,0,0,0
71,44,0,0,1,1,0,0,0,1,0,0,0,0
72,12,-1,0,0,-1,0,1,0,1,0,0,0,0
72,15,0,1,0,-1,0,0,-1,0,1,0,0,0
72,23,1,0,0,0,1,0,0,0,1,0,0,1/4
72,45,1,0,0,0,1,0,0,0,1,0,0,0
72,46,0,0,-1,0,1,0,1,0,0,0,0,1/4
73,15,0,1,0,-1,0,0,-1,0,1,0,0,0
73,24,1,0,0,0,1,0,0,0,1,0,0,0
73,45,0,0,1,1,0,0,0,1,0,0,0,1/4
74,12,0,1,0,-1,0,0,-1,0,1,0,0,0
74,15,-1,0,0,-1,0,1,0,1,0,0,0,0
74,24,1,0,0,0,1,0,0,0,1,0,0,1/4
74,44,1,0,0,0,1,0,0,0,1,0,1/4,0
74,46,0,0,1,1,0,0,0,1,0,0,0,0
75,3,0,0,1,1,0,0,0,1,0,0,0,0
76,4,0,0,1,1,0,0,0,1,0,0,0,0
77,3,0,0,1,1,0,0,0,1,0,0,0,0
78,4,0,0,1,1,0,0,0,1,0,0,0,0
79,5,-1,0,0,-1,0,1,0,1,0,0,0,0
80,5,-1,0,0,-1,0,1,0,1,0,0,0,0
81,3,0,0,1,1,0,0,0,1,0,0,0,0
82,5,-1,0,0,-1,0,1,0,1,0,0,0,0
83,10,0,0,1,1,0,0,0,1,0,0,0,0
83,75,1,0,0,0,1,0,0,0,1,0,0,0
83,81,1,0,0,0,1,0,0,0,1,0,0,0
84,10,0,0,1,1,0,0,0,1,0,0,0,0
84,77,1,0,0,0,1,0,0,0,1,0,0,0
84,81,1,0,0,0,1,0,0,0,1,0,0,1/4
85,13,1,0,-1,0,0,-1,0,1,0,0,1/2,0
85,75,1,0,0,0,1,0,0,0,1,1/4,1/4,0
85,81,1,0,0,0,1,0,0,0,1,1/4,3/4,0
86,13,1,0,-1,0,0,-1,0,1,0,0,0,0
86,77,1,0,0,0,1,0,0,0,1,3/4,1/4,0
86,81,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
87,12,-1,0,0,-1,0,1,0,1,0,0,0,0
87,79,1,0,0,0,1,0,0,0,1,0,0,0
87,82,1,0,0,0,1,0,0,0,1,0,0,0
88,15,-1,0,0,-1,0,1,0,1,0,0,0,0
88,80,1,0,0,0,1,0,0,0,1,1/2,1/4,0
88,82,1,0,0,0,1,0,0,0,1,0,1/4,5/8
89,16,1,0,0,0,1,0,0,0,1,0,0,0
89,21,1,1,0,-1,1,0,0,0,1,0,0,0
89,75,1,0,0,0,1,0,0,0,1,0,0,0
90,18,1,0,0,0,1,0,0,0,1,0,0,0
90,21,1,1,0,-1,1,0,0,0,1,0,0,0
90,75,1,0,0,0,1,0,0,0,1,0,1/2,0
91,17,1,0,0,0,1,0,0,0,1,0,0,1/4
91,20,1,1,0,-1,1,0,0,0,1,0,0,1/8
91,76,1,0,0,0,1,0,0,0,1,0,0,0
92,19,1,0,0,0,1,0,0,0,1,1/4,0,3/8
92,20,1,1,0,-1,1,0,0,0,1,0,0,1/4
92,76,1,0,0,0,1,0,0,0,1,0,1/2,0
93,16,1,0,0,0,1,0,0,0,1,0,0,0
93,21,1,1,0,-1,1,0,0,0,1,0,0,1/4
93,77,1,0,0,0,1,0,0,0,1,0,0,0
94,18,1,0,0,0,1,0,0,0,1,0,0,1/4
94,21,1,1,0,-1,1,0,0,0,1,0,0,0
94,77,1,0,0,0,1,0,0,0,1,0,1/2,0
95,17,1,0,0,0,1,0,0,0,1,0,0,1/4
95,20,1,1,0,-1,1,0,0,0,1,0,0,3/8
95,78,1,0,0,0,1,0,0,0,1,0,0,0
96,19,1,0,0,0,1,0,0,0,1,1/4,0,1/8
96,20,1,1,0,-1,1,0,0,0,1,0,0,1/4
96,78,1,0,0,0,1,0,0,0,1,0,1/2,0
97,22,1,1,0,-1,1,0,0,0,1,0,0,0
97,23,1,0,0,0,1,0,0,0,1,0,0,0
97,79,1,0,0,0,1,0,0,0,1,0,0,0
98,22,1,1,0,-1,1,0,0,0,1,0,0,0
98,24,1,0,0,0,1,0,0,0,1,0,1/4,3/8
98,80,1,0,0,0,1,0,0,0,1,0,0,0
99,25,1,0,0,0,1,0,0,0,1,0,0,0
99,35,1,1,0,-1,1,0,0,0,1,0,0,0
99,75,1,0,0,0,1,0,0,0,1,0,0,0
100,32,1,0,0,0,1,0,0,0,1,0,0,0
100,35,1,1,0,-1,1,0,0,0,1,0,1/2,0
100,75,1,0,0,0,1,0,0,0,1,0,0,0
101,27,1,0,0,0,1,0,0,0,1,0,0,0
101,35,1,1,0,-1,1,0,0,0,1,0,0,0
101,77,1,0,0,0,1,0,0,0,1,0,0,0
102,34,1,0,0,0,1,0,0,0,1,0,0,0
102,35,1,1,0,-1,1,0,0,0,1,0,0,0
102,77,1,0,0,0,1,0,0,0,1,0,1/2,0
103,27,1,0,0,0,1,0,0,0,1,0,0,0
103,37,1,1,0,-1,1,0,0,0,1,0,0,0
103,75,1,0,0,0,1,0,0,0,1,0,0,0
104,34,1,0,0,0,1,0,0,0,1,0,0,0
104,37,1,1,0,-1,1,0,0,0,1,0,1/2,0
104,75,1,0,0,0,1,0,0,0,1,0,0,0
105,25,1,0,0,0,1,0,0,0,1,0,0,0
105,37,1,1,0,-1,1,0,0,0,1,0,0,0
105,77,1,0,0,0,1,0,0,0,1,0,0,0
106,32,1,0,0,0,1,0,0,0,1,0,0,0
106,37,1,1,0,-1,1,0,0,0,1,0,1/2,0
106,77,1,0,0,0,1,0,0,0,1,0,0,0
107,42,1,1,0,-1,1,0,0,0,1,0,0,0
107,44,1,0,0,0,1,0,0,0,1,0,0,0
107,79,1,0,0,0,1,0,0,0,1,0,0,0
108,42,1,1,0,-1,1,0,0,0,1,0,1/2,0
108,45,1,0,0,0,1,0,0,0,1,0,0,0
108,79,1,0,0,0,1,0,0,0,1,0,0,0
109,43,1,1,0,-1,1,0,0,0,1,0,1/2,0
109,44,1,0,0,0,1,0,0,0,1,0,0,0
109,80,1,0,0,0,1,0,0,0,1,0,0,0
110,43,1,1,0,-1,1,0,0,0,1,0,0,0
110,45,1,0,0,0,1,0,0,0,1,0,0,0
110,80,1,0,0,0,1,0,0,0,1,0,0,0
111,16,1,0,0,0,1,0,0,0,1,0,0,0
111,35,1,1,0,-1,1,0,0,0,1,0,0,0
111,81,1,0,0,0,1,0,0,0,1,0,0,0
112,16,1,0,0,0,1,0,0,0,1,0,0,1/4
112,37,1,1,0,-1,1,0,0,0,1,0,0,0
112,81,1,0,0,0,1,0,0,0,1,0,0,0
113,18,1,0,0,0,1,0,0,0,1,0,0,0
113,35,1,1,0,-1,1,0,0,0,1,0,1/2,0
113,81,1,0,0,0,1,0,0,0,1,0,0,0
114,18,1,0,0,0,1,0,0,0,1,0,0,1/4
114,37,1,1,0,-1,1,0,0,0,1,0,1/2,0
114,81,1,0,0,0,1,0,0,0,1,0,0,0
115,21,1,1,0,-1,1,0,0,0,1,0,0,0
115,25,1,0,0,0,1,0,0,0,1,0,0,0
115,81,1,0,0,0,1,0,0,0,1,0,0,0
116,21,1,1,0,-1,1,0,0,0,1,0,0,1/4
116,27,1,0,0,0,1,0,0,0,1,0,0,0
116,81,1,0,0,0,1,0,0,0,1,0,0,0
117,21,1,1,0,-1,1,0,0,0,1,0,1/2,0
117,32,1,0,0,0,1,0,0,0,1,0,0,0
117,81,1,0,0,0,1,0,0,0,1,0,0,0
118,21,1,1,0,-1,1,0,0,0,1,0,1/2,1/4
118,34,1,0,0,0,1,0,0,0,1,0,0,0
118,81,1,0,0,0,1,0,0,0,1,0,0,0
119,22,1,1,0,-1,1,0,0,0,1,0,0,0
119,44,1,0,0,0,1,0,0,0,1,0,0,0
119,82,1,0,0,0,1,0,0,0,1,0,0,0
120,22,1,1,0,-1,1,0,0,0,1,0,0,1/4
120,45,1,0,0,0,1,0,0,0,1,0,0,0
120,82,1,0,0,0,1,0,0,0,1,0,0,0
121,23,1,0,0,0,1,0,0,0,1,0,0,0
121,42,1,1,0,-1,1,0,0,0,1,0,0,0
121,82,1,0,0,0,1,0,0,0,1,0,0,0
122,24,1,0,0,0,1,0,0,0,1,0,1/4,3/8
122,43,1,1,0,-1,1,0,0,0,1,0,1/2,0
122,82,1,0,0,0,1,0,0,0,1,0,0,0
123,47,1,0,0,0,1,0,0,0,1,0,0,0
123,65,1,1,0,-1,1,0,0,0,1,0,0,0
123,83,1,0,0,0,1,0,0,0,1,0,0,0
123,89,1,0,0,0,1,0,0,0,1,0,0,0
123,99,1,0,0,0,1,0,0,0,1,0,0,0
123,111,1,0,0,0,1,0,0,0,1,0,0,0
123,115,1,0,0,0,1,0,0,0,1,0,0,0
124,49,1,0,0,0,1,0,0,0,1,0,0,0
124,66,1,1,0,-1,1,0,0,0,1,0,0,0
124,83,1,0,0,0,1,0,0,0,1,0,0,0
124,89,1,0,0,0,1,0,0,0,1,0,0,1/4
124,103,1,0,0,0,1,0,0,0,1,0,0,0
124,112,1,0,0,0,1,0,0,0,1,0,0,0
124,116,1,0,0,0,1,0,0,0,1,0,0,0
125,50,1,0,0,0,1,0,0,0,1,0,0,0
125,67,1,1,0,-1,1,0,0,0,1,0,1/2,0
125,85,1,0,0,0,1,0,0,0,1,0,0,0
125,89,1,0,0,0,1,0,0,0,1,1/4,1/4,0
125,100,1,0,0,0,1,0,0,0,1,1/4,1/4,0
125,111,1,0,0,0,1,0,0,0,1,1/4,3/4,0
125,117,1,0,0,0,1,0,0,0,1,1/4,3/4,0
126,48,1,0,0,0,1,0,0,0,1,0,0,0
126,68,1,1,0,-1,1,0,0,0,1,0,0,0
126,85,1,0,0,0,1,0,0,0,1,0,0,0
126,89,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
126,104,1,0,0,0,1,0,0,0,1,1/4,1/4,0
126,112,1,0,0,0,1,0,0,0,1,1/4,3/4,0
126,118,1,0,0,0,1,0,0,0,1,1/4,3/4,0
127,55,1,0,0,0,1,0,0,0,1,0,0,0
127,65,1,1,0,-1,1,0,0,0,1,0,1/2,0
127,83,1,0,0,0,1,0,0,0,1,0,0,0
127,90,1,0,0,0,1,0,0,0,1,0,1/2,0
127,100,1,0,0,0,1,0,0,0,1,0,0,0
127,113,1,0,0,0,1,0,0,0,1,0,0,0
127,117,1,0,0,0,1,0,0,0,1,0,0,0
128,58,1,0,0,0,1,0,0,0,1,0,0,0
128,66,1,1,0,-1,1,0,0,0,1,0,1/2,0
128,83,1,0,0,0,1,0,0,0,1,0,0,0
128,90,1,0,0,0,1,0,0,0,1,0,1/2,1/4
128,104,1,0,0,0,1,0,0,0,1,0,0,0
128,114,1,0,0,0,1,0,0,0,1,0,0,0
128,118,1,0,0,0,1,0,0,0,1,0,0,0
129,59,1,0,0,0,1,0,0,0,1,0,0,0
129,67,1,1,0,-1,1,0,0,0,1,0,0,0
129,85,1,0,0,0,1,0,0,0,1,0,0,0
129,90,1,0,0,0,1,0,0,0,1,1/4,3/4,0
129,99,1,0,0,0,1,0,0,0,1,1/4,1/4,0
129,113,1,0,0,0,1,0,0,0,1,1/4,3/4,0
129,115,1,0,0,0,1,0,0,0,1,1/4,3/4,0
130,56,1,0,0,0,1,0,0,0,1,0,0,0
130,68,1,1,0,-1,1,0,0,0,1,0,1/2,0
130,85,1,0,0,0,1,0,0,0,1,0,0,0
130,90,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
130,103,1,0,0,0,1,0,0,0,1,1/4,1/4,0
130,114,1,0,0,0,1,0,0,0,1,1/4,3/4,0
130,116,1,0,0,0,1,0,0,0,1,1/4,3/4,0
131,47,1,0,0,0,1,0,0,0,1,0,0,0
131,66,1,1,0,-1,1,0,0,0,1,0,0,0
131,84,1,0,0,0,1,0,0,0,1,0,0,0
131,93,1,0,0,0,1,0,0,0,1,0,0,0
131,105,1,0,0,0,1,0,0,0,1,0,0,0
131,112,1,0,0,0,1,0,0,0,1,0,0,1/4
131,115,1,0,0,0,1,0,0,0,1,0,0,1/4
132,49,1,0,0,0,1,0,0,0,1,0,0,0
132,65,1,1,0,-1,1,0,0,0,1,0,0,0
132,84,1,0,0,0,1,0,0,0,1,0,0,0
132,93,1,0,0,0,1,0,0,0,1,0,0,1/4
132,101,1,0,0,0,1,0,0,0,1,0,0,0
132,111,1,0,0,0,1,0,0,0,1,0,0,1/4
132,116,1,0,0,0,1,0,0,0,1,0,0,1/4
133,50,1,0,0,0,1,0,0,0,1,0,0,0
133,68,1,1,0,-1,1,0,0,0,1,0,0,0
133,86,1,0,0,0,1,0,0,0,1,0,1/2,0
133,93,1,0,0,0,1,0,0,0,1,1/4,1/4,0
133,106,1,0,0,0,1,0,0,0,1,1/4,1/4,0
133,112,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
133,117,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
134,48,1,0,0,0,1,0,0,0,1,0,0,0
134,67,1,1,0,-1,1,0,0,0,1,0,1/2,0
134,86,1,0,0,0,1,0,0,0,1,0,1/2,0
134,93,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
134,102,1,0,0,0,1,0,0,0,1,1/4,3/4,0
134,111,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
134,118,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
135,55,1,0,0,0,1,0,0,0,1,0,0,0
135,66,1,1,0,-1,1,0,0,0,1,0,1/2,0
135,84,1,0,0,0,1,0,0,0,1,0,0,0
135,94,1,0,0,0,1,0,0,0,1,0,1/2,1/4
135,106,1,0,0,0,1,0,0,0,1,0,0,0
135,114,1,0,0,0,1,0,0,0,1,0,0,1/4
135,117,1,0,0,0,1,0,0,0,1,0,0,1/4
136,58,1,0,0,0,1,0,0,0,1,0,0,0
136,65,1,1,0,-1,1,0,0,0,1,0,0,0
136,84,1,0,0,0,1,0,0,0,1,0,1/2,0
136,94,1,0,0,0,1,0,0,0,1,0,0,0
136,102,1,0,0,0,1,0,0,0,1,0,0,0
136,113,1,0,0,0,1,0,0,0,1,0,1/2,1/4
136,118,1,0,0,0,1,0,0,0,1,0,1/2,1/4
137,59,1,0,0,0,1,0,0,0,1,0,0,0
137,68,1,1,0,-1,1,0,0,0,1,0,1/2,0
137,86,1,0,0,0,1,0,0,0,1,0,1/2,0
137,94,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
137,105,1,0,0,0,1,0,0,0,1,1/4,1/4,0
